time,valueA,valueB,valueC
769,11,60,10.5
770,5,30,9.333333333
771,21,47.5,18
772,0,50,11
773,10,53.33333333,30
774,2,50,10
775,119,60,32.5
776,18,80,26
777,2,30,6
778,7,50,20.5
779,3,50,11
780,9,36.66666666,8.333333333
781,7,52.5,15.5
782,8,55,19
783,2,30,6.5
784,19,60,18
785,0,30,10
786,5,50,13
787,62,54,29.5
788,3,50,12
789,0,40,10.5
790,81,45,17
791,1,50,10
792,47,60,27.5
793,17,52.5,13
794,32,50,18
795,17,55,9
796,4,30,8
797,11,30,15.5
798,19,30,8.666666666
799,10,30,6
800,2,40,7.5
801,5,60,6.666666666
802,14,36.66666666,11
803,78,56.66666666,18.75
804,1,30,4.5
805,7,50,14.5
806,2,30,13
807,2,50,9.5
808,60,57.5,25.33333333
809,34,60,21.5
810,13,30,17
811,7,60,29
812,7,45,16.66666666
813,79,50,16
814,130,52.5,13.4
815,10,50,20
816,80,37.5,8.5
817,35,50,17.5
818,21,30,24.33333333
819,11,30,6.666666666
820,30,40,5.666666666
821,15,50,8
822,5,30,14.5
823,148,55,22.5
824,41,50,9
825,15,52.5,5.5
826,8,40,18.5
827,7,30,17
828,28,30,18.33333333
829,15,56.66666666,27
830,11,52.5,6.333333333
831,3,50,9
832,18,40,10.5
833,6,30,10.5
834,5,60,5.666666666
835,12,30,19.5
836,8,60,8
837,29,60,8.666666666
838,8,45,11
839,109,55,20
840,2,50,7
841,14,30,20.5
842,15,54,5
843,23,37.5,13
844,63,50,16.33333333
845,32,50,9.666666666
846,93,50,13.5
847,33,40,9.333333333
848,2,50,6
849,58,52.5,22.33333333
850,2,50,7
851,4,40,18.5
852,59,50,11.5
853,162,65,37.5
854,2,50,5.333333333
855,7,40,12
856,74,35,10.5
857,41,33.33333333,7.666666666
858,27,50,30
859,23,52.5,8.666666666
860,23,30,24.5
861,24,60,22
862,5,50,7.666666666
863,7,30,6.333333333
864,2,30,7.5
865,95,65,25
866,9,40,14.5
867,3,30,8
868,111,56.66666666,24.5
869,49,50,23.5
870,0,30,6.5
871,3,30,7.5
872,89,60,32
873,9,30,6.5
874,9,30,8
875,16,52.5,14.5
876,119,40,30
877,74,52.5,11.33333333
878,39,60,22.66666666
879,7,45,14.33333333
880,11,60,10
881,4,40,6
882,7,50,6.5
883,28,40,22
884,12,45,23
885,16,30,16.5
886,43,52.5,21.33333333
887,14,37.5,11
888,86,66.66666666,31.66666666
889,65,66.66666666,35
890,15,60,14.33333333
891,29,60,14.66666666
892,62,56.66666666,28.66666666
893,4,52.5,7
894,1,45,6
895,2,30,7
896,29,60,14
897,0,30,5.5
898,9,40,7.5
899,6,30,6.666666666
900,63,66.66666666,30.33333333
901,6,40,9
902,29,66.66666666,24.75
903,5,45,11.5
904,6,30,5.5
905,1,30,10
906,13,50,9
907,5,30,9.5
908,30,48,19.33333333
909,4,30,10
910,2,30,8.5
911,74,56.66666666,29.33333333
912,37,50,14.33333333
913,49,55,29
914,141,60,30
915,22,52.5,17.5
916,33,50,18.5
917,26,60,11.5
918,2,30,6
919,11,45,11.66666666
920,2,30,6.333333333
921,121,55,21
922,5,30,6.666666666
923,44,50,11.66666666
924,7,30,7.5
925,66,42.5,15.66666666
926,42,36.66666666,13.5
927,197,50,32.5
928,9,30,7
929,77,52.5,22.5
930,5,30,8
931,38,50,12.33333333
932,30,43.33333333,11.33333333
933,29,60,10.5
934,54,40,10.5
935,48,47.5,15
936,20,30,16.5
937,14,30,25
938,15,30,14
939,11,30,25
940,39,43.33333333,17
941,8,60,17
942,49,60,30
943,12,50,15
944,9,60,15
945,44,60,29.5
946,12,50,22.5
947,17,53.33333333,15.5
948,72,54.28571428,24.5
949,99,52,40
950,61,50,27.5
951,19,60,13.66666666
952,5,30,10
953,59,60,15.33333333
954,117,60,24.5
955,42,40,12.33333333
956,54,60,12
957,134,60,16.66666666
958,29,60,12
959,83,50,19
960,119,60,35
961,115,60,21
962,26,60,30
963,1,30,5.75
964,28,60,30
965,3,30,5
966,8,30,6
967,28,52.5,10.5
968,18,30,13
969,1,60,20
970,12,60,15.5
971,67,48,25
972,48,60,5
973,40,60,11
974,44,60,4.5
975,13,30,7.5
976,11,50,14.33333333
977,38,50,16.66666666
978,14,60,2
979,18,60,6
980,122,60,20
981,32,60,2
982,15,50,11
983,28,53.33333333,21.33333333
984,75,60,29.5
985,83,53.33333333,16
986,16,60,6
987,32,60,9
988,50,50,13
989,21,60,6
990,33,60,6
991,74,60,20
992,24,60,8
993,26,30,7.666666666
994,66,48,8
995,21,30,7.666666666
996,3,30,7.5
997,5,30,7.5
998,1,30,7.5
999,21,50,7.4
1000,6,30,8
1001,9,30,6
1002,11,30,6
1003,30,60,6
1004,22,60,8
1005,60,40,12
1006,20,48,2
1007,14,60,11
1008,46,60,9
1009,8,55,20
1010,56,50,14
1011,4,50,11.33333333
1012,14,40,15
1013,122,50,22.66666666
1014,112,52.5,27.5
1015,6,50,15
1016,65,45,20
1017,27,50,13.5
1018,7,30,9
1019,3,30,9.5
1020,32,60,11
1021,4,40,7
1022,3,60,8.666666666
1023,11,50,12.5
1024,4,50,13
1025,25,50,18.5
1026,107,60,28.5
1027,112,60,38.5
1028,2,40,12
1029,42,50,23
1030,142,60,36
1031,7,40,18.5
1032,0,40,8
1033,16,52.5,11
1034,76,50,16.33333333
1035,171,60,37.5
1036,78,50,16.66666666
1037,76,60,28.5
1038,55,45,37
1039,1,30,6
1040,64,53.33333333,22
1041,43,60,20
1042,8,50,20.5
1043,6,50,22.5
1044,41,60,17.33333333
1045,19,40,20
1046,21,33.33333333,12.5
1047,29,60,27
1048,14,50,30
1049,8,30,16.5
1050,14,50,17
1051,90,60,32.5
1052,74,60,25
1053,39,60,22
1054,85,52.5,21.33333333
1055,14,60,15.66666666
1056,82,60,19
1057,10,30,9
1058,14,40,6
1059,61,53.33333333,32.66666666
1060,164,60,34
1061,51,50,19.75
1062,28,50,16
